跳水明星

一、中国跳水世界冠军一览表
　
时间 姓名 单位 性别 项目 比赛名称 地点
   王天凌是中国男子跳水在跳板项目上的一员老将，但他的命运多少有点象中国另外一位老将谭良德，总是在大赛中屈居亚军。

吴敏霞（Wu Minxia）
性别：女
籍贯：上海
生日：1985.11.10
身高：1.64米
体重：50公斤
项目：跳水

辉煌战绩
   2001年世锦赛女子3米跳板双人冠军；
   2001年东亚运动会女子3米跳板冠军；
   2002年世界杯女子3米跳板双人、单人亚军，团体冠军；
   2002年国际泳联跳水大奖赛加拿大站女子3米板单人、双人冠军；
   2002年国际泳联跳水大奖赛美国站女子3米板单人冠军；
   2002年全国跳水锦标赛女子1米跳板亚军；
   2002年釜山亚运会女子3米板双人冠军、单人亚军；
   2003年国际泳联跳水大奖赛澳大利亚站女子3米板双人冠军；
   2003年国际泳联跳水大奖赛中国站女子3米板双人冠军、单人亚军。

肖海亮

简介
   肖海亮的世界冠军头衔都是在双人项目上夺得的，比如去年10月份的全国锦标赛，今年1月份的悉尼世界杯以及刚刚落幕的全国冠军赛，而单项金牌他却从来没有染指过，每次都是差那么一点点，而输的对手又往往是他的双人搭档熊倪。肖海亮发展了一组名为307C的高难动作，难度系数达到3.5，如果发挥正常，在单项上仍然颇具竞争力。
   中国跳水队的奥运选拔赛共分5站，在已经进行的前四站比赛中，肖海亮的积分紧随熊倪之后，位居第二位，不出意外，他很有可能跟熊倪携手进军悉尼。

以往成绩
   1996年亚特兰大奥运会，10米跳台铜牌（此后转攻3米板）
   1999年1月世界杯双人第一（与余卓成）
   1999年1月澳大利亚国际大奖赛单人第一
   1999年3月德国国际大奖赛单人第一
   1999年3月俄罗斯国际大奖赛单人第一
   1999年7月奥地利国际大奖赛单人第四
   1999年7月意大利国际大奖赛单人第二
   2000年1月世界杯双人第一（与熊倪），单人第二
   2000年4月全国跳水冠军赛双人第一（与熊倪），单人第二。

于丽娅-潘卡里娜

简介

威风不再：
   在1998年她夺得世界冠军后，于丽娅-潘卡里娜开始走下坡路。在飞回家的途中，她的肾被病毒感染。在住院治疗过程中，病情恶化，结果她瘦了十几磅。此后，她的训练一直没有恢复正常，在1999年的世界杯上，只获得第九名。

父亲教练：
   于丽娅-潘卡里娜的教练就是她的父亲，沃拉地米尔，这有时让她觉得训练起来很别扭。她现在每天训练五小时，她的父亲主要负责动作设计。

故乡传统：
   于丽娅-潘卡里娜的故乡是潘萨，距莫斯科250英里，有着优良的跳水传统。其中的代表人才包括：1997年欧洲锦标赛跳台冠军克西托沃娃，1998年世界锦标赛季军里索斯基，而1998年双人跳水世界冠军帕卡林娜和拉士科可称姐妹花，其中前者还在故乡的大学学习体育教育学。

以往战绩：
   1997年 欧洲锦标赛冠军
   1997年 世界杯亚军
   1998年 世界锦标赛冠军
   1999年 世界杯第九名

周继红（Zhou Jihong）
性别：女
籍贯：湖北武汉
出生年月：1965年
项目：跳水

辉煌战绩
   1977年入湖北省跳水队。1982年进入国家队。1986年7月退役后，回湖北任教，后入北京大学英语系学习。1990年毕业后继续在国家跳水队任教，现任中国跳水队领队。
   1981年全国跳水冠军；
   1982年第9届亚运会女子跳台跳水亚军；
   1982年第4届世界游泳锦标赛女子跳台跳水第3名；
   1983年第3届世界杯跳水赛女子跳台跳水、男女团体、女子团体冠军；
   1984年23届奥运会女子跳台跳水金牌，成为我国跳水历史上第一个奥运会冠军；
   1985年第4届世界杯混合团体冠军、女子团体冠军。
   曾三次获国家体育运动荣誉奖章。1981年获运动健将称号，1985年获国际级运动健将称号。
   1983年、1984年、1985年连续三年获国家体委颁发的体育运动荣誉奖章。1984年被评为建国后杰出运动员，并被全国妇联授予全国三八红旗手称号，共青团中央授予全国新长征突击手称号，中国人民解放军总政治部赠予一等军功章，湖北省政府授予省劳动模范、记特等功一次，同时被美国《游泳世界》杂志评选为1984年女子跳台跳水世界最佳运动员。曾获法国“莫尼克-贝丽乌奖”和“巴黎市奖”。1994年5月，成为第一位入选设在美国佛罗里达州劳德代尔堡的国际水上名人堂的中国运动员。
