跳水明星

一、中国跳水世界冠军一览表
　
时间 姓名 单位 性别 项目 比赛名称 地点
1991 林媛霞 广东 女 混合团体 第七届世界杯跳水赛 加拿大
1991 路海松 江苏 女 女子团体 第七届世界杯跳水赛 加拿大
1991 路海松 江苏 女 混合团体 第七届世界杯跳水赛 加拿大
1991 肖艳娟 广东 女 女子团体 第七届世界杯跳水赛 加拿大
1991 肖艳娟 广东 女 混合团体 第七届世界杯跳水赛 加拿大
1991 谭良德 广东 男 男子团体 第七届世界杯跳水赛 加拿大
1991 谭良德 广东 男 混合团体 第七届世界杯跳水赛 加拿大
1991 熊倪 湖南 男 男子团体 第七届世界杯跳水赛 加拿大
1991 熊倪 湖南 男 混合团体 第七届世界杯跳水赛 加拿大
1991 兰卫 广东 男 男子团体 第七届世界杯跳水赛 加拿大
1991 兰卫 广东 男 混合团体 第七届世界杯跳水赛 加拿大
1992 高敏 四川 女 三米跳板 第二十五届奥运会 西班牙
1992 伏明霞 湖北 女 十米跳台 第二十五届奥运会 西班牙
1992 孙淑伟 广东 男 十米跳台 第二十五届奥运会 西班牙
1993 谈舒萍 广西 女 一米跳板 第八届世界杯跳水赛 北京
1993 谈舒萍 广西 女 三米跳板 第八届世界杯跳水赛 北京
1993 谈舒萍 广西 女 女子团体 第八届世界杯跳水赛 北京
1993 谈舒萍 广西 女 混合团体 第八届世界杯跳水赛 北京
1993 池彬 河北 女 十米跳台 第八届世界杯跳水赛 北京
1993 池彬 河北 女 女子团体 第八届世界杯跳水赛 北京
1993 池彬 河北 女 混合团体 第八届世界杯跳水赛 北京
1993 余晓玲 广西 女 女子团体 第八届世界杯跳水赛 北京
1993 余晓玲 广西 女 混合团体 第八届世界杯跳水赛 北京
1993 伏明霞 湖北 女 女子团体 第八届世界杯跳水赛 北京
1993 伏明霞 湖北 女 混合团体 第八届世界杯跳水赛 北京
1993 邓泳 广东 女 女子团体 第八届世界杯跳水赛 北京
1993 邓泳 广东 女 混合团体 第八届世界杯跳水赛 北京
1993 兰卫 广东 男 一米跳板 第八届世界杯跳水赛 北京
1993 兰卫 广东 男 男子团体 第八届世界杯跳水赛 北京
1993 兰卫 广东 男 混合团体 第八届世界杯跳水赛 北京
1993 余卓成 广东 男 三米跳板 第八届世界杯跳水赛 北京
1993 余卓成 广东 男 男子团体 第八届世界杯跳水赛 北京
1993 余卓成 广东 男 混合团体 第八届世界杯跳水赛 北京
1993 熊倪 湖南 男 十米跳台 第八届世界杯跳水赛 北京
1993 熊倪 湖南 男 男子团体 第八届世界杯跳水赛 北京
1993 熊倪 湖南 男 混合团体 第八届世界杯跳水赛 北京
1993 王毅杰 上海 男 男子团体 第八届世界杯跳水赛 北京
1993 王毅杰 上海 男 混合团体 第八届世界杯跳水赛 北京
1993 肖海亮 湖北 男 男子团体 第八届世界杯跳水赛 北京
1993 肖海亮 湖北 男 混合团体 第八届世界杯跳水赛 北京
